iter	Huber:delta=1.0
0	0.004628237325
1	0.004335395485
2	0.004071398771
3	0.003828572913
4	0.003599512678
5	0.003398303085
6	0.003209176763
7	0.003040394296
8	0.002875172014
9	0.002724020826
10	0.002587653616
11	0.00246554569
12	0.002352156366
13	0.002255509849
14	0.002163741755
15	0.002078001687
16	0.001996670547
17	0.001923335601
18	0.001859561119
19	0.001799654035
20	0.001739995299
21	0.001690038984
22	0.001636683978
23	0.001588583805
24	0.001541492083
25	0.001500762843
26	0.001459822932
27	0.001422795723
28	0.001388672686
29	0.001356151719
30	0.001323888292
31	0.001297230491
32	0.001272041878
33	0.001246341105
34	0.001223256034
35	0.00120207238
36	0.001183706948
37	0.001165432128
38	0.001147050058
39	0.0011323941
40	0.001113787203
41	0.001096855372
42	0.001078601487
43	0.001063317649
44	0.001050104909
45	0.001037466077
46	0.001021345457
47	0.001007233999
48	0.0009944362351
49	0.0009842357232
50	0.0009719898876
51	0.000961289114
52	0.0009512011682
53	0.0009408155992
54	0.0009313023525
55	0.0009225290611
56	0.0009147831256
57	0.0009052610634
58	0.0008972884979
59	0.0008899053534
60	0.0008830775127
61	0.0008760379967
62	0.0008692000062
63	0.0008631804529
64	0.0008571249858
65	0.0008498363624
66	0.0008437390604
67	0.00083789729
68	0.0008331314379
69	0.0008275609994
70	0.0008227439215
71	0.0008156799169
72	0.0008094595436
73	0.0008045162244
74	0.0008007596543
75	0.000795991432
76	0.0007927386924
77	0.0007887678343
78	0.0007846464907
79	0.000779580345
80	0.0007759986852
81	0.0007719887305
82	0.0007665529788
83	0.0007614467084
84	0.0007578091977
85	0.0007536200498
86	0.0007497771405
87	0.0007458079162
88	0.0007416589166
89	0.0007379501205
90	0.0007345060795
91	0.0007309321888
92	0.0007275835725
93	0.0007242984718
94	0.0007212921411
95	0.0007187023326
96	0.0007158069868
97	0.0007116407866
98	0.0007083008821
99	0.0007051049531
100	0.0007025025837
101	0.0006996788
102	0.00069789784
103	0.0006946435923
104	0.0006919844019
105	0.0006883194065
106	0.0006861668089
107	0.0006832694847
108	0.0006810307906
109	0.0006784608174
110	0.0006760179383
111	0.0006731627937
112	0.000670585559
113	0.0006680871422
114	0.0006659987147
115	0.0006641336574
116	0.0006613347997
117	0.0006590945674
118	0.0006569833821
119	0.0006540042912
120	0.0006527151987
121	0.0006504953071
122	0.0006489059288
123	0.0006472609954
124	0.0006448111839
125	0.000642683694
126	0.0006410676839
127	0.000639295051
128	0.0006366791817
129	0.000635101707
130	0.000633129761
131	0.0006307898484
132	0.000628378103
133	0.0006260404715
134	0.0006248296304
135	0.0006229315343
136	0.0006216106677
137	0.0006193439054
